ID,PSET,ALT_PRONOUNCE,PRONOUN,VERB,GENDER,SYLLABARY,PRONOUNCE,ENGLISH,INTRO NOTE,END NOTE
,,Hiɂi digwě:ji.,,,,ᎯᎠ ᏗᏇᏥ.,Hiɂa digwě:ji.,These are my children.,,
,,,,,,ᏙᏱ ᏓᎦᎶᎯ.,Dǒ:yi da:galó:hi.,He came from outside.,,
,,Gane̋:lis sda:li̋:ɂi?,,,,ᎦᏁᎵᏍ ᏍᏓᎵᎢ?,Gane̋:lisgo sda:li̋:ɂi?,Is your friend married?,,
,,Gohlgas jalagi?,,,,ᎪᎵᎦᏍ ᏣᎳᎩ?,Gohlgasgo jalagi?,Does he understand Cherokee?,,
,,,,,,ᎢᎾ ᎨᎦ.,I̋:na gé:ga.,I am going far away.,,
,,Go:hlv:hnv̋ e:ksdě:la.,,,,ᎪᏢᏅ ᎡᏍᎩᏍᏕᎳ,Go:hlv:hnv̋:ɂi e:ksdě:la.,Pass me some butter.,,
,,Ù:hna̋:s te:si?,,,,ᎤᎿᏍ ᏖᏏ?,Ù:hna̋:sgo te:si?,Are you going there?,,
,,,,,,ᎩᎶ ᏛᏟ.,Kilő dv̀:tli.,Someone is running in this direction.,,
,,,,,,ᎠᎴ ᏄᎶᏒᎢ.,Ale nù:lô:sv̌:ɂi.,He almost fell.,,
,,,,,,ᎡᎮᎾ ᏞᎦ.,E:hè:na hle̋:ga.,Come here a while.,,
,,Jě:dô:lv̌:ɂs wá:sv:dáɂnő:ɂi?,,,,ᏤᏙᎸᎢᏍ ᏩᏒᏓᏃᎢ?,Jě:dô:lv̌:ɂsgo wá:sv:dáɂnő:ɂi?,Have you been to Washington?,,
,,,,,,ᎣᏂ ᎤᎷᏨᎢ.,O:hni ù:lúhjv̌:ɂi.,He came afterwards.,,
,,,,,,ᏘᏲᎯ ᏥᏍᏚ.,Tí:yohi ji:sdu.,Let the rabbit go.,,
,,,,,,ᎤᏟ ᏫᎶᎯ.,Udli hwilǒ:hi.,Go away.,,
,,,,,,ᎠᏑᏍᏗ ᎦᏑᎠ.,Asú:sdi gà:sú:ɂa.,I am sopping gravy.,,
,,,,,,ᎠᏯᏄᎵ ᎠᎢᏒᎢ.,A:yanű:li á:ɂi:sv̌:ɂi.,He was walking fast.,,
,,Síyo. Tò:hi̋:ju?,,,,ᎣᏏᏲ. ᏙᎯᏧ?,O:síyo. Tò:hi̋:ju?,Hello. It is well. Right?,,
,,,,,,ᎠᎹ ᎠᎩᏔᏕᎩᎠ.,Ama à:ktade:gí:ɂa.,I am thirsty for water.,,
,,,,,,ᎡᏝᏪ ᎠᏂᏅᎢ.,E:hlawe̋:ɂi à:níɂnv̌:ɂi.,They sat quietly.,,
,,Hè:sdi yijaně:gû:jé:sdi.,,,,ᏞᏍᏗ ᏱᏣᏁᎫᏤᏍᏗ.,Hlè:sdi yijaně:gû:jé:sdi.,Don't be mean.,,
,,Jě:dô:lv̌:ɂis gù:gu?,,,,ᏤᏙᎸᎢᏍ ᎫᎫ?,Jě:dô:lv̌:ɂisgo gù:gu?,Have you been to Bartlesville?,,
,,,,,,ᎦᏄᎸ ᎠᎦᎵᏍᎦ.,Ganǔ:lv á:gà:lsdi.,He is mowing the grass.,,
,,,,,,ᏩᎶᏏ ᎾᏂᏪᎠ.,Waló:si nà:niweɂa.,The frogs are croaking.,,
,,Wě:sas hi:gòwhtī?,,,,ᏪᏌᏍ ᎯᎪᏩᏘ?,Wě:sasgo hi:gòwhtī?,Did you just see a cat?,,
,,,,,,ᎠᎹᏱ ᎠᏆᏚᎭ.,Amǎ:yi à:gwadúha.,I am standing in the water.,,
,,,,,,ᎦᏙᎯ ᎤᎯᏌᏔ.,Ga:dő:hi ù:hí:sata.,There's dew on the ground,,
,,Hlas hyigowhtí?,,,,ᏝᏍ ᏱᎪᏩᏘ?,Vtlasgo hyigowhtíha?,Don't you see it?,,
,,Jalv̌:kwdis gő:la?,,,,ᏣᎸᏉᏗᏍ ᎪᎳ?,Jalv̌:kwdisgo gő:la?,Do you like winter?,,
,,Jayó:sihas? Hla.,,,,ᏣᏲᏏᎭᏍ? Ꮭ.,Jayó:sihasgo? Tla.,Are you hungry? No.,,
,,,,,,ᎧᏫ ᎠᎵᏟᎭ.,Kǎ:hwi à:lidlíha.,The coffee is boiling.,,
,,Sda̋:yi ha:sò:nsda.; Sda̋:i ha:sò:nsda.,,,,ᏍᏓᏯ ᎭᏐᏅᏍᏓ.,Sda̋:ya ha:sò:nsda.,Press down on it hard.,,
,,Do:hiyu à:tvsga.; Do:yű à:tvsga.,,,,ᎤᏙᎯᏳ ᎠᏛᏍᎦ.,U:do:hiyű à:tvsga.,He is really growing.,,
,,Ago:nas jalo:sv̌:hi?,,,,ᎠᎪᎾᏍ ᏣᎶᏒᎯ?,Ago:nasgo jalo:sv̌:hi?,Have you gone through famine?,,
,,,,,,ᏥᏳᎪᏗ ᏫᎶᎯ.,Ji:yű:kdi hwilǒ:hi.,Go straight ahead.,,
