ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE

# There is a max of 21 new and hidden new cards per session.

# Chapter 2
|||||||gùːgu juːnéːgihldi; gùːgu juːnéːgihld|The bottles are ugly.|||
|||||||v̀hla juːnéːgihldi yigaːdía; hla juːnéːgihld yigaːdí|I'm not saying they are ugly.|||
|||||||Wahaya hla uːniːnéːgihldi yi̋ːgi.; Wahya hla uːniːnéːgihld yi̋ːg.|The wolves aren't ugly.|||
|||||||uːniːnéːgihldi, Tóːmasi àːdiha.; uːniːnéːgihld, Tóːmasi àːdi.|They are ugly, says Thomas.|||
|||||||Digoːhweːli juwoːdűːhi.; Digoːhweːl juwoːdű.|The papers are pretty.|||
|||||||Juwoːdűːhi àgwanhta.; Juwoːdű àgwanht.|I know they are pretty.|||
|||||||Juwoːdűːhi gùːgu.; Juwoːdű gùːg.|Pretty bottles.|||
|||||||Gùːgu dàːgiha.; Gùːg dàːgi.|I have bottles.|||
|||||||Uːnéːgihldi sǒːgwíli.; Uːnéːgihld sǒːgwíl.|An ugly horse.|||
|||||||Dǐːsoʔi guːle.; Dǐːso guːle.|Additional acorns.|||
|||||||Dǐːsoʔi àgwanhta.; Dǐːso àgwanht.|I know there are others.|||
|||||||Hla gùːgu yiːgèːsé gǎːtíːyőːʔi.; Hla̋ gùːgu yiːgèːsé gǎːtíːyő.|There wasn't a bottle at the stompground.|||
|||||||Hla dǐːsoʔi soʔǐːyi yi̋ːgi.|Others aren't in the next room.|||
|||||||Tóːmasi hla yùnhta.|Thomas doesn't know it.|||
|||||||Sóʔi salǒːli gèːséːsdi.; Só salǒːl gèːséːsd.|It will be another squirrel.|||
|||||||Dǐːsoʔi salǒːli gèːséːsdi.; Dǐːso salǒːl gèːséːsd.|It will be other squirrels.|||
|||||||Aniːyvːwi hla niga̋ːda yàːnadiha.; Yvːwi hla niga̋ːda yàːnadiha.|People don't know everything.|||
|||||||Dalǒːníge̋ ùːsgǒːlv̋ ùnhta.; Dalǒːníge̋ ùːsgǒːl ùnht.|He knows it is orange.|||
|||||||Gùːgu dalǒːníge̋ ùːsgǒːlv̋.|The bottle is orange.|||
|||||||Sóʔi hla soʔǐːyi yi̋ːgi.; Só hla soʔǐːyi yi̋ːg.|There isn't an other in the next room.|||
|||||||Uːnéːgihldi jiːsdu jakáha.; Uːnéːgihld jiːsd jakáha.|You have an ugly rabbit.|||
|||||||ǔːhas sóʔi gùːgu méːli?; ǔːhas só gùːg méːl?|Does Mary have another bottle?||Complete the lesson material through the end of chapter 2.|

# Chapter 3

